TP,TN,FP,FN,NR,Accuracy,Recall,Precission
311.0,343.0,9.0,35.0,8.0,0.9263456090651558,0.971875,0.8988439306358381
316.0,341.0,11.0,34.0,4.0,0.9305949008498584,0.9663608562691132,0.9028571428571428
315.0,345.0,6.0,37.0,3.0,0.9348441926345609,0.9813084112149533,0.8948863636363636
315.0,341.0,10.0,36.0,4.0,0.9291784702549575,0.9692307692307692,0.8974358974358975
311.0,344.0,8.0,38.0,5.0,0.9277620396600567,0.9749216300940439,0.8911174785100286
321.0,344.0,7.0,28.0,6.0,0.9419263456090652,0.9786585365853658,0.9197707736389685
320.0,344.0,8.0,31.0,3.0,0.9405099150141643,0.975609756097561,0.9116809116809117
313.0,340.0,12.0,34.0,7.0,0.9249291784702549,0.963076923076923,0.9020172910662824
314.0,341.0,8.0,37.0,6.0,0.9277620396600567,0.9751552795031055,0.8945868945868946
322.0,342.0,9.0,28.0,5.0,0.9405099150141643,0.972809667673716,0.92
320.0,347.0,6.0,30.0,3.0,0.9447592067988668,0.9815950920245399,0.9142857142857143
321.0,342.0,11.0,31.0,1.0,0.9390934844192634,0.9668674698795181,0.9119318181818182
319.0,347.0,5.0,32.0,3.0,0.943342776203966,0.9845679012345679,0.9088319088319088
322.0,339.0,11.0,28.0,6.0,0.9362606232294618,0.9669669669669669,0.92
315.0,343.0,10.0,35.0,3.0,0.9320113314447592,0.9692307692307692,0.9
320.0,341.0,8.0,30.0,7.0,0.9362606232294618,0.975609756097561,0.9142857142857143
309.0,345.0,7.0,37.0,8.0,0.9263456090651558,0.9778481012658228,0.8930635838150289
322.0,343.0,9.0,30.0,2.0,0.9419263456090652,0.972809667673716,0.9147727272727273
318.0,345.0,7.0,32.0,4.0,0.9390934844192634,0.9784615384615385,0.9085714285714286
324.0,344.0,9.0,27.0,2.0,0.9461756373937678,0.972972972972973,0.9230769230769231
317.4,343.05,8.55,32.5,4.5,0.9354815864022663,0.9737968532776762,0.9071008251184794
