TP,TN,FP,FN,NR,Accuracy,Recall,Precission
190.0,344.0,2.0,41.0,129.0,0.7563739376770539,0.9895833333333334,0.8225108225108225
189.0,336.0,4.0,53.0,124.0,0.7436260623229461,0.9792746113989638,0.78099173553719
193.0,341.0,4.0,44.0,124.0,0.7563739376770539,0.9796954314720813,0.8143459915611815
183.0,341.0,4.0,54.0,124.0,0.7422096317280453,0.9786096256684492,0.7721518987341772
185.0,340.0,4.0,48.0,129.0,0.7436260623229461,0.9788359788359788,0.7939914163090128
193.0,342.0,3.0,53.0,115.0,0.7577903682719547,0.9846938775510204,0.7845528455284553
186.0,341.0,4.0,51.0,124.0,0.7464589235127479,0.9789473684210527,0.7848101265822784
185.0,343.0,4.0,55.0,119.0,0.7478753541076487,0.9788359788359788,0.7708333333333334
194.0,340.0,2.0,52.0,118.0,0.7563739376770539,0.9897959183673469,0.7886178861788617
190.0,344.0,3.0,41.0,128.0,0.7563739376770539,0.9844559585492227,0.8225108225108225
189.0,343.0,3.0,48.0,123.0,0.7535410764872521,0.984375,0.7974683544303798
186.0,343.0,3.0,46.0,128.0,0.7492917847025495,0.9841269841269841,0.8017241379310345
187.0,342.0,4.0,50.0,123.0,0.7492917847025495,0.9790575916230366,0.7890295358649789
192.0,344.0,3.0,47.0,120.0,0.7592067988668555,0.9846153846153847,0.803347280334728
186.0,342.0,3.0,45.0,130.0,0.7478753541076487,0.9841269841269841,0.8051948051948052
186.0,341.0,4.0,48.0,127.0,0.7464589235127479,0.9789473684210527,0.7948717948717948
195.0,341.0,3.0,53.0,114.0,0.7592067988668555,0.9848484848484849,0.7862903225806451
182.0,341.0,3.0,52.0,128.0,0.7407932011331445,0.9837837837837838,0.7777777777777778
185.0,342.0,3.0,51.0,125.0,0.7464589235127479,0.9840425531914894,0.7838983050847458
180.0,345.0,3.0,56.0,122.0,0.7436260623229461,0.9836065573770492,0.7627118644067796
187.8,341.8,3.3,49.4,123.7,0.75014164305949,0.9827129387273839,0.7918815528631904
