TP,TN,FP,FN,NR,Accuracy,Recall,Precission
263.0,350.0,3.0,89.0,1.0,0.8682719546742209,0.9887218045112782,0.7471590909090909
263.0,350.0,3.0,89.0,1.0,0.8682719546742209,0.9887218045112782,0.7471590909090909
262.0,349.0,4.0,91.0,0.0,0.8654390934844193,0.9849624060150376,0.7422096317280453
258.0,350.0,3.0,95.0,0.0,0.8611898016997167,0.9885057471264368,0.7308781869688386
263.0,349.0,4.0,89.0,1.0,0.8668555240793201,0.9850187265917603,0.7471590909090909
260.0,349.0,4.0,93.0,0.0,0.8626062322946175,0.9848484848484849,0.7365439093484419
264.0,349.0,4.0,89.0,0.0,0.8682719546742209,0.9850746268656716,0.7478753541076487
260.0,349.0,4.0,93.0,0.0,0.8626062322946175,0.9848484848484849,0.7365439093484419
264.0,349.0,4.0,89.0,0.0,0.8682719546742209,0.9850746268656716,0.7478753541076487
267.0,349.0,4.0,86.0,0.0,0.8725212464589235,0.985239852398524,0.7563739376770539
261.0,349.0,4.0,92.0,0.0,0.8640226628895185,0.9849056603773585,0.7393767705382436
257.0,349.0,4.0,95.0,1.0,0.8583569405099151,0.9846743295019157,0.7301136363636364
260.0,349.0,4.0,93.0,0.0,0.8626062322946175,0.9848484848484849,0.7365439093484419
258.0,349.0,4.0,94.0,1.0,0.8597733711048159,0.9847328244274809,0.7329545454545454
260.0,349.0,4.0,92.0,1.0,0.8626062322946175,0.9848484848484849,0.7386363636363636
261.0,349.0,4.0,92.0,0.0,0.8640226628895185,0.9849056603773585,0.7393767705382436
261.0,349.0,4.0,91.0,1.0,0.8640226628895185,0.9849056603773585,0.7414772727272727
259.0,349.0,4.0,93.0,1.0,0.8611898016997167,0.9847908745247148,0.7357954545454546
257.0,349.0,4.0,94.0,2.0,0.8583569405099151,0.9846743295019157,0.7321937321937322
261.0,349.0,4.0,92.0,0.0,0.8640226628895185,0.9849056603773585,0.7393767705382436
260.95,349.15,3.85,91.55,0.5,0.8641643059490084,0.985460426687253,0.7402811390948785
