TP,TN,FP,FN,NR,Accuracy,Recall,Precission
292.0,236.0,58.0,5.0,115.0,0.7478753541076487,0.8342857142857143,0.9831649831649831
299.0,235.0,52.0,10.0,110.0,0.7563739376770539,0.8518518518518519,0.9676375404530745
292.0,239.0,61.0,7.0,107.0,0.7521246458923513,0.8271954674220963,0.9765886287625418
299.0,226.0,61.0,8.0,112.0,0.7436260623229461,0.8305555555555556,0.9739413680781759
300.0,239.0,59.0,5.0,103.0,0.7634560906515581,0.8356545961002786,0.9836065573770492
295.0,228.0,65.0,7.0,111.0,0.7407932011331445,0.8194444444444444,0.9768211920529801
286.0,232.0,64.0,9.0,115.0,0.7337110481586402,0.8171428571428572,0.9694915254237289
302.0,241.0,59.0,3.0,101.0,0.7691218130311614,0.8365650969529086,0.9901639344262295
289.0,235.0,64.0,7.0,111.0,0.7422096317280453,0.8186968838526912,0.9763513513513513
300.0,232.0,65.0,5.0,104.0,0.7535410764872521,0.821917808219178,0.9836065573770492
295.0,240.0,57.0,6.0,108.0,0.7577903682719547,0.8380681818181818,0.9800664451827242
306.0,225.0,75.0,6.0,94.0,0.7521246458923513,0.8031496062992126,0.9807692307692307
304.0,235.0,59.0,7.0,101.0,0.7634560906515581,0.837465564738292,0.977491961414791
303.0,243.0,56.0,7.0,97.0,0.773371104815864,0.8440111420612814,0.9774193548387097
297.0,238.0,58.0,5.0,108.0,0.7577903682719547,0.8366197183098592,0.9834437086092715
302.0,238.0,64.0,3.0,99.0,0.7648725212464589,0.825136612021858,0.9901639344262295
283.0,238.0,56.0,6.0,123.0,0.7379603399433428,0.8348082595870207,0.9792387543252595
288.0,241.0,63.0,8.0,106.0,0.7492917847025495,0.8205128205128205,0.972972972972973
291.0,233.0,68.0,8.0,106.0,0.7422096317280453,0.8105849582172702,0.9732441471571907
298.0,236.0,57.0,12.0,103.0,0.7563739376770539,0.8394366197183099,0.9612903225806452
296.05,235.5,61.05,6.7,106.7,0.7529036827195468,0.8291551879555842,0.9778737235372095
